,index,Ticker,Mentions,Start_Time,End_Time
0,6859,PLTR,92,2020-11-30,2020-12-07
1,5893,GME,41,2020-11-30,2020-12-07
2,4942,BB,23,2020-11-30,2020-12-07
3,6859,PLTR,41,2020-12-07,2020-12-14
4,3937,TSLA,36,2020-12-07,2020-12-14
5,4942,BB,23,2020-12-07,2020-12-14
6,3937,TSLA,61,2020-12-14,2020-12-21
7,6489,MT,55,2020-12-14,2020-12-21
8,6859,PLTR,33,2020-12-14,2020-12-21
9,5893,GME,39,2020-12-21,2020-12-28
10,6859,PLTR,34,2020-12-21,2020-12-28
11,3937,TSLA,25,2020-12-21,2020-12-28
12,6489,MT,24,2020-12-21,2020-12-28
13,5893,GME,86,2020-12-28,2021-01-04
14,6859,PLTR,53,2020-12-28,2021-01-04
15,3937,TSLA,85,2021-01-04,2021-01-11
16,5893,GME,61,2021-01-04,2021-01-11
17,6859,PLTR,31,2021-01-04,2021-01-11
18,5893,GME,415,2021-01-11,2021-01-18
19,4942,BB,250,2021-01-11,2021-01-18
20,6859,PLTR,61,2021-01-11,2021-01-18
21,5166,CCIV,39,2021-01-11,2021-01-18
22,3937,TSLA,38,2021-01-11,2021-01-18
23,4769,AMC,26,2021-01-11,2021-01-18
24,5893,GME,766,2021-01-18,2021-01-25
25,4942,BB,613,2021-01-18,2021-01-25
26,6859,PLTR,77,2021-01-18,2021-01-25
27,4769,AMC,63,2021-01-18,2021-01-25
28,5685,F,45,2021-01-18,2021-01-25
29,6624,NOK,33,2021-01-18,2021-01-25
30,3937,TSLA,30,2021-01-18,2021-01-25
31,5166,CCIV,29,2021-01-18,2021-01-25
32,5682,EXPR,21,2021-01-18,2021-01-25
33,5893,GME,8804,2021-01-25,2021-02-01
34,4769,AMC,3347,2021-01-25,2021-02-01
35,4942,BB,2548,2021-01-25,2021-02-01
36,6624,NOK,2385,2021-01-25,2021-02-01
37,2671,NAKD,543,2021-01-25,2021-02-01
38,3605,SNDL,405,2021-01-25,2021-02-01
39,4685,AG,159,2021-01-25,2021-02-01
40,7221,SPCE,146,2021-01-25,2021-02-01
41,5682,EXPR,143,2021-01-25,2021-02-01
42,6859,PLTR,127,2021-01-25,2021-02-01
43,1004,CTRM,116,2021-01-25,2021-02-01
44,5804,FUBO,115,2021-01-25,2021-02-01
45,448,BBBY,114,2021-01-25,2021-02-01
46,1,AAL,107,2021-01-25,2021-02-01
47,3937,TSLA,106,2021-01-25,2021-02-01
48,1681,GNUS,95,2021-01-25,2021-02-01
49,2199,KOSS,72,2021-01-25,2021-02-01
50,4951,BBW,53,2021-01-25,2021-02-01
51,6907,PRTY,52,2021-01-25,2021-02-01
52,4613,ZOM,45,2021-01-25,2021-02-01
53,4283,XSPA,45,2021-01-25,2021-02-01
54,7026,RKT,45,2021-01-25,2021-02-01
55,373,ATOS,42,2021-01-25,2021-02-01
56,6342,M,42,2021-01-25,2021-02-01
57,216,AMD,40,2021-01-25,2021-02-01
58,6346,MAC,40,2021-01-25,2021-02-01
59,1954,IDEX,32,2021-01-25,2021-02-01
60,2103,JAGX,32,2021-01-25,2021-02-01
61,562,BNGO,31,2021-01-25,2021-02-01
62,2030,INO,31,2021-01-25,2021-02-01
63,6590,NIO,31,2021-01-25,2021-02-01
64,7409,TR,29,2021-01-25,2021-02-01
